shipment_id,order_id,item_id,carrier,tracking_number,tracking_url,shipped_date,estimated_delivery_date,actual_delivery_date,delivery_attempts,last_attempt_date,failed_delivery_reason,shipment_status
45,55,,Interrapidísimo,INT-52017-14457,https://www.interrapidisimo.com/rastreo/INT-52017-14457,2025-04-12 04:00:00,2025-04-18,2025-04-18,1,2025-04-18 04:00:00,,delivered
46,56,168,Interrapidísimo,INT-10229-30511,https://www.interrapidisimo.com/rastreo/INT-10229-30511,2025-09-21 17:00:00,2025-10-01,2025-09-27,1,2025-09-24 17:00:00,,delivered
47,57,,Coordinadora,COO-32934-38324,https://www.coordinadora.com/rastreo/COO-32934-38324,2025-11-29 19:00:00,2025-12-05,2025-12-03,1,2025-12-04 19:00:00,,delivered
48,58,,Deprisa,DEP-50688-43438,https://www.deprisa.com/rastreo/DEP-50688-43438,2025-07-21 08:00:00,2025-07-31,2025-07-24,1,2025-07-29 08:00:00,,delivered
49,59,,Interrapidísimo,INT-62365-88361,https://www.interrapidisimo.com/rastreo/INT-62365-88361,2025-08-07 12:00:00,2025-08-17,2025-08-15,1,2025-08-08 12:00:00,,delivered
50,60,,Coordinadora,COO-85057-66459,https://www.coordinadora.com/rastreo/COO-85057-66459,2025-05-07 02:00:00,2025-05-13,2025-05-08,1,2025-05-09 02:00:00,,delivered
51,61,,Coordinadora,COO-16709-59721,https://www.coordinadora.com/rastreo/COO-16709-59721,2026-01-25 06:00:00,2026-02-04,2026-02-05,1,2026-01-28 06:00:00,,delivered
52,62,,Interrapidísimo,INT-67943-94192,https://www.interrapidisimo.com/rastreo/INT-67943-94192,2025-09-20 10:00:00,2025-09-22,2025-09-22,2,2025-09-22 10:00:00,Zona de difícil acceso,delivered
53,63,,TCC,TCC-45797-74073,https://www.tcc.com.co/rastreo/TCC-45797-74073,2025-04-17 22:00:00,2025-04-27,2025-04-20,1,2025-04-18 22:00:00,,delivered
54,64,186,Interrapidísimo,INT-93091-79881,https://www.interrapidisimo.com/rastreo/INT-93091-79881,2025-08-26 23:00:00,2025-09-05,2025-09-07,1,2025-08-27 23:00:00,,delivered
55,65,,Deprisa,DEP-18465-58046,https://www.deprisa.com/rastreo/DEP-18465-58046,2025-07-04 03:00:00,2025-07-10,2025-07-08,1,2025-07-07 03:00:00,,delivered
56,67,,Interrapidísimo,INT-89481-75725,https://www.interrapidisimo.com/rastreo/INT-89481-75725,2025-06-04 21:00:00,2025-06-12,2025-06-12,1,2025-06-11 21:00:00,,delivered
57,69,,TCC,TCC-94351-62976,https://www.tcc.com.co/rastreo/TCC-94351-62976,2025-03-25 23:00:00,2025-04-04,2025-03-29,1,2025-03-27 23:00:00,,delivered
58,71,210,Interrapidísimo,INT-91956-71060,https://www.interrapidisimo.com/rastreo/INT-91956-71060,2025-08-11 13:00:00,2025-08-15,2025-08-17,2,2025-08-15 13:00:00,Horario de entrega no compatible,delivered
59,72,,Envía,ENV-74740-75828,https://www.envia.co/rastreo/ENV-74740-75828,2025-06-01 20:00:00,2025-06-11,2025-06-09,1,2025-06-03 20:00:00,,delivered
60,74,,Interrapidísimo,INT-26246-46035,https://www.interrapidisimo.com/rastreo/INT-26246-46035,2026-01-17 19:00:00,2026-01-23,2026-01-22,1,2026-01-18 19:00:00,,delivered
61,75,,Interrapidísimo,INT-39203-15187,https://www.interrapidisimo.com/rastreo/INT-39203-15187,2025-09-03 03:00:00,2025-09-13,2025-09-07,1,2025-09-10 03:00:00,,delivered
62,76,226,Servientrega,SER-27857-57638,https://www.servientrega.com/rastreo/SER-27857-57638,2025-04-19 05:00:00,2025-04-29,2025-04-28,1,2025-04-22 05:00:00,,delivered
63,77,,Deprisa,DEP-56392-86068,https://www.deprisa.com/rastreo/DEP-56392-86068,2025-02-24 19:00:00,2025-03-06,2025-03-06,1,2025-02-25 19:00:00,,delivered
64,78,,Envía,ENV-54958-43545,https://www.envia.co/rastreo/ENV-54958-43545,2026-01-21 06:00:00,2026-01-23,2026-01-24,1,2026-01-22 06:00:00,,delivered
65,80,,Deprisa,DEP-37739-11456,https://www.deprisa.com/rastreo/DEP-37739-11456,2025-09-15 05:00:00,2025-09-25,2025-09-25,1,2025-09-23 05:00:00,,delivered
66,81,238,TCC,TCC-60342-30529,https://www.tcc.com.co/rastreo/TCC-60342-30529,2025-03-14 16:00:00,2025-03-24,2025-03-21,1,2025-03-18 16:00:00,,delivered
67,82,,Envía,ENV-30203-63333,https://www.envia.co/rastreo/ENV-30203-63333,2025-04-30 08:00:00,2025-05-07,2025-05-02,1,2025-05-05 08:00:00,,delivered
68,83,,TCC,TCC-86132-97262,https://www.tcc.com.co/rastreo/TCC-86132-97262,2026-01-23 14:00:00,2026-02-01,2026-01-27,2,2026-01-25 14:00:00,Zona de difícil acceso,returned_to_sender
69,84,,Deprisa,DEP-97238-34594,https://www.deprisa.com/rastreo/DEP-97238-34594,2025-12-05 23:00:00,2025-12-11,2025-12-12,1,2025-12-07 23:00:00,,delivered
70,85,,Deprisa,DEP-12811-71217,https://www.deprisa.com/rastreo/DEP-12811-71217,2025-12-22 09:00:00,2025-12-30,2025-12-26,1,2025-12-27 09:00:00,,delivered
71,86,,Servientrega,SER-28282-17751,https://www.servientrega.com/rastreo/SER-28282-17751,2025-07-09 02:00:00,2025-07-17,2025-07-17,1,2025-07-12 02:00:00,,delivered
72,87,,Interrapidísimo,INT-56942-94121,https://www.interrapidisimo.com/rastreo/INT-56942-94121,2025-07-05 01:00:00,2025-07-15,2025-07-13,1,2025-07-06 01:00:00,,delivered
73,88,,Deprisa,DEP-63619-21313,https://www.deprisa.com/rastreo/DEP-63619-21313,2025-10-19 16:00:00,2025-10-27,2025-10-20,1,2025-10-27 16:00:00,,delivered
74,89,,Interrapidísimo,INT-40415-52910,https://www.interrapidisimo.com/rastreo/INT-40415-52910,2025-11-05 17:00:00,2025-11-15,2025-11-14,1,2025-11-15 17:00:00,,delivered
75,90,271,Interrapidísimo,INT-72715-77266,https://www.interrapidisimo.com/rastreo/INT-72715-77266,2025-11-20 09:00:00,2025-11-29,2025-11-30,1,2025-11-24 09:00:00,,delivered
76,92,,Deprisa,DEP-12082-14184,https://www.deprisa.com/rastreo/DEP-12082-14184,2025-05-30 03:00:00,2025-06-09,2025-06-07,3,2025-06-02 03:00:00,No se encontró a nadie en la dirección,delivered
77,93,281,Servientrega,SER-36528-97211,https://www.servientrega.com/rastreo/SER-36528-97211,2025-04-24 04:00:00,2025-05-03,2025-04-27,1,2025-04-26 04:00:00,,delivered
78,94,,Envía,ENV-89911-34298,https://www.envia.co/rastreo/ENV-89911-34298,2025-03-14 17:00:00,2025-03-22,2025-03-22,3,2025-03-19 17:00:00,Dirección incorrecta o inexistente,returned_to_sender
79,95,287,Interrapidísimo,INT-28792-25485,https://www.interrapidisimo.com/rastreo/INT-28792-25485,2025-06-12 18:00:00,2025-06-17,2025-06-19,2,2025-06-13 18:00:00,Cliente solicitó reprogramación,delivered
80,97,,Servientrega,SER-44467-72756,https://www.servientrega.com/rastreo/SER-44467-72756,2025-08-23 01:00:00,2025-08-29,2025-08-24,1,2025-08-28 01:00:00,,delivered
81,98,,Deprisa,DEP-79112-45912,https://www.deprisa.com/rastreo/DEP-79112-45912,2025-09-14 11:00:00,2025-09-18,2025-09-20,1,2025-09-16 11:00:00,,delivered
82,99,298,Servientrega,SER-11711-22622,https://www.servientrega.com/rastreo/SER-11711-22622,2026-01-26 10:00:00,2026-02-05,2026-02-06,1,2026-02-03 10:00:00,,delivered
83,100,,Envía,ENV-83604-25179,https://www.envia.co/rastreo/ENV-83604-25179,2025-09-14 20:00:00,2025-09-21,2025-09-17,1,2025-09-19 20:00:00,,delivered
84,101,,Interrapidísimo,INT-65463-48632,https://www.interrapidisimo.com/rastreo/INT-65463-48632,2025-12-10 06:00:00,2025-12-17,2025-12-17,1,2025-12-12 06:00:00,,delivered
85,102,,Interrapidísimo,INT-38185-77211,https://www.interrapidisimo.com/rastreo/INT-38185-77211,2026-01-10 01:00:00,2026-01-20,2026-01-14,1,2026-01-20 01:00:00,,delivered
86,103,,Interrapidísimo,INT-66468-29716,https://www.interrapidisimo.com/rastreo/INT-66468-29716,2025-09-20 05:00:00,2025-09-26,2025-09-23,2,2025-09-25 05:00:00,Cliente rechazó el paquete,returned_to_sender
87,104,,TCC,TCC-62016-50806,https://www.tcc.com.co/rastreo/TCC-62016-50806,2025-12-14 18:00:00,2025-12-20,2025-12-22,1,2025-12-16 18:00:00,,delivered
88,105,,Servientrega,SER-81675-77306,https://www.servientrega.com/rastreo/SER-81675-77306,2025-10-02 01:00:00,2025-10-10,2025-10-05,1,2025-10-08 01:00:00,,delivered
89,106,,Coordinadora,COO-99634-90559,https://www.coordinadora.com/rastreo/COO-99634-90559,2025-07-29 05:00:00,2025-08-08,2025-07-31,1,2025-08-08 05:00:00,,delivered
90,107,,Interrapidísimo,INT-41571-50463,https://www.interrapidisimo.com/rastreo/INT-41571-50463,2025-05-01 19:00:00,2025-05-08,2025-05-04,1,2025-05-03 19:00:00,,delivered
91,108,327,Servientrega,SER-90828-72679,https://www.servientrega.com/rastreo/SER-90828-72679,2026-01-14 13:00:00,2026-01-22,2026-01-20,1,2026-01-16 13:00:00,,delivered
92,109,,Interrapidísimo,INT-62112-69400,https://www.interrapidisimo.com/rastreo/INT-62112-69400,2025-09-27 06:00:00,2025-10-06,2025-10-07,2,2025-10-06 06:00:00,Cliente solicitó reprogramación,delivered
93,110,,TCC,TCC-86030-30369,https://www.tcc.com.co/rastreo/TCC-86030-30369,2026-02-04 07:00:00,2026-02-12,,1,2026-02-09 07:00:00,,shipped
94,112,,Interrapidísimo,INT-98267-61236,https://www.interrapidisimo.com/rastreo/INT-98267-61236,2025-05-19 06:00:00,2025-05-24,2025-05-25,1,2025-05-22 06:00:00,,returned_to_sender
95,113,,Interrapidísimo,INT-41906-78454,https://www.interrapidisimo.com/rastreo/INT-41906-78454,2025-03-30 18:00:00,2025-04-09,2025-04-09,3,2025-04-09 18:00:00,No se encontró a nadie en la dirección,delivered
96,114,,TCC,TCC-64952-71454,https://www.tcc.com.co/rastreo/TCC-64952-71454,2025-05-26 10:00:00,2025-06-05,2025-05-30,1,2025-06-02 10:00:00,,delivered
97,115,,TCC,TCC-16323-56640,https://www.tcc.com.co/rastreo/TCC-16323-56640,2025-08-31 04:00:00,2025-09-07,2025-09-06,1,2025-09-03 04:00:00,,delivered
98,116,,Coordinadora,COO-69066-98118,https://www.coordinadora.com/rastreo/COO-69066-98118,2025-05-01 11:00:00,2025-05-10,2025-05-12,2,2025-05-04 11:00:00,Zona de difícil acceso,delivered
99,117,,Servientrega,SER-75603-43831,https://www.servientrega.com/rastreo/SER-75603-43831,2025-02-17 00:00:00,2025-02-21,2025-02-20,2,2025-02-20 00:00:00,Cliente solicitó reprogramación,delivered
100,118,,Envía,ENV-44423-50124,https://www.envia.co/rastreo/ENV-44423-50124,2025-03-12 16:00:00,2025-03-17,2025-03-14,1,2025-03-14 16:00:00,,returned_to_sender
101,119,,Deprisa,DEP-72380-49353,https://www.deprisa.com/rastreo/DEP-72380-49353,2025-09-05 10:00:00,2025-09-10,2025-09-07,2,2025-09-10 10:00:00,Cliente rechazó el paquete,delivered
102,120,,Interrapidísimo,INT-67860-87093,https://www.interrapidisimo.com/rastreo/INT-67860-87093,2025-05-26 05:00:00,2025-06-04,2025-06-06,1,2025-06-04 05:00:00,,delivered
103,121,,Interrapidísimo,INT-79223-77958,https://www.interrapidisimo.com/rastreo/INT-79223-77958,2025-04-16 04:00:00,2025-04-21,2025-04-20,1,2025-04-20 04:00:00,,delivered
104,122,,Interrapidísimo,INT-43861-91573,https://www.interrapidisimo.com/rastreo/INT-43861-91573,2025-09-17 16:00:00,2025-09-27,2025-09-23,2,2025-09-23 16:00:00,Edificio cerrado / sin acceso,delivered
105,123,,Deprisa,DEP-10634-53470,https://www.deprisa.com/rastreo/DEP-10634-53470,2025-06-28 20:00:00,2025-07-03,2025-07-05,1,2025-07-02 20:00:00,,delivered
106,124,,Envía,ENV-63006-83042,https://www.envia.co/rastreo/ENV-63006-83042,2025-12-13 05:00:00,2025-12-15,2025-12-16,2,2025-12-15 05:00:00,Edificio cerrado / sin acceso,delivered
107,125,,Envía,ENV-36691-84750,https://www.envia.co/rastreo/ENV-36691-84750,2025-03-08 10:00:00,2025-03-16,2025-03-15,2,2025-03-14 10:00:00,Cliente solicitó reprogramación,returned_to_sender
108,126,,Servientrega,SER-13691-18334,https://www.servientrega.com/rastreo/SER-13691-18334,2025-09-30 07:00:00,2025-10-07,2025-10-05,1,2025-10-02 07:00:00,,delivered
109,127,,TCC,TCC-63109-32387,https://www.tcc.com.co/rastreo/TCC-63109-32387,2025-05-12 11:00:00,2025-05-18,2025-05-18,2,2025-05-18 11:00:00,Cliente rechazó el paquete,delivered
110,128,,Coordinadora,COO-81809-42106,https://www.coordinadora.com/rastreo/COO-81809-42106,2025-05-29 02:00:00,2025-05-31,2025-05-30,1,2025-05-31 02:00:00,,delivered
111,129,,TCC,TCC-10724-62089,https://www.tcc.com.co/rastreo/TCC-10724-62089,2025-07-30 10:00:00,2025-08-09,2025-08-03,1,2025-08-07 10:00:00,,delivered
112,130,,Deprisa,DEP-43499-51945,https://www.deprisa.com/rastreo/DEP-43499-51945,2025-03-26 00:00:00,2025-03-31,2025-04-02,2,2025-03-28 00:00:00,Zona de difícil acceso,delivered
113,131,,TCC,TCC-34689-66758,https://www.tcc.com.co/rastreo/TCC-34689-66758,2025-08-20 11:00:00,2025-08-25,2025-08-25,1,2025-08-21 11:00:00,,delivered
114,132,,Envía,ENV-28785-70811,https://www.envia.co/rastreo/ENV-28785-70811,2025-11-20 11:00:00,2025-11-24,2025-11-23,1,2025-11-21 11:00:00,,delivered
115,133,,Coordinadora,COO-43914-13953,https://www.coordinadora.com/rastreo/COO-43914-13953,2025-12-06 17:00:00,2025-12-10,2025-12-10,1,2025-12-10 17:00:00,,delivered
116,134,,Envía,ENV-56209-67810,https://www.envia.co/rastreo/ENV-56209-67810,2025-08-04 02:00:00,2025-08-14,2025-08-12,1,2025-08-08 02:00:00,,delivered
117,135,,Interrapidísimo,INT-45827-66333,https://www.interrapidisimo.com/rastreo/INT-45827-66333,2025-05-04 17:00:00,2025-05-09,2025-05-06,1,2025-05-06 17:00:00,,delivered
118,136,,Deprisa,DEP-47502-19187,https://www.deprisa.com/rastreo/DEP-47502-19187,2025-10-23 22:00:00,2025-10-31,2025-10-24,1,2025-10-24 22:00:00,,delivered
119,137,,TCC,TCC-38182-70614,https://www.tcc.com.co/rastreo/TCC-38182-70614,2025-12-31 20:00:00,2026-01-02,2026-01-01,1,2026-01-01 20:00:00,,delivered
120,139,,Deprisa,DEP-33194-71844,https://www.deprisa.com/rastreo/DEP-33194-71844,2025-08-03 07:00:00,2025-08-13,2025-08-15,1,2025-08-09 07:00:00,,delivered
121,140,,Servientrega,SER-26712-56771,https://www.servientrega.com/rastreo/SER-26712-56771,2025-12-09 01:00:00,2025-12-19,2025-12-18,1,2025-12-19 01:00:00,,delivered
122,141,,Servientrega,SER-30273-86585,https://www.servientrega.com/rastreo/SER-30273-86585,2025-06-25 21:00:00,2025-06-29,2025-06-28,1,2025-06-27 21:00:00,,delivered
123,143,,Servientrega,SER-60667-66297,https://www.servientrega.com/rastreo/SER-60667-66297,2025-03-21 17:00:00,2025-03-28,2025-03-25,1,2025-03-27 17:00:00,,returned_to_sender
124,144,,Deprisa,DEP-28711-36924,https://www.deprisa.com/rastreo/DEP-28711-36924,2026-01-14 14:00:00,2026-01-19,2026-01-21,1,2026-01-16 14:00:00,,delivered
125,145,,Envía,ENV-88250-25289,https://www.envia.co/rastreo/ENV-88250-25289,2025-08-04 20:00:00,2025-08-12,2025-08-12,2,2025-08-06 20:00:00,Zona de difícil acceso,delivered
126,146,,TCC,TCC-96487-74465,https://www.tcc.com.co/rastreo/TCC-96487-74465,2025-10-26 19:00:00,2025-11-05,2025-11-01,1,2025-11-02 19:00:00,,delivered
127,147,,Servientrega,SER-96580-28814,https://www.servientrega.com/rastreo/SER-96580-28814,2025-11-12 20:00:00,2025-11-20,2025-11-15,1,2025-11-13 20:00:00,,delivered
128,148,433,Coordinadora,COO-75161-45939,https://www.coordinadora.com/rastreo/COO-75161-45939,2025-05-09 00:00:00,2025-05-18,2025-05-11,1,2025-05-16 00:00:00,,delivered
129,149,435,TCC,TCC-93926-73923,https://www.tcc.com.co/rastreo/TCC-93926-73923,2025-12-18 20:00:00,2025-12-28,2025-12-24,3,2025-12-28 20:00:00,Cliente rechazó el paquete,delivered
130,150,,TCC,TCC-15982-82276,https://www.tcc.com.co/rastreo/TCC-15982-82276,2026-01-08 18:00:00,2026-01-18,2026-01-13,1,2026-01-12 18:00:00,,delivered
131,151,,Interrapidísimo,INT-17834-66675,https://www.interrapidisimo.com/rastreo/INT-17834-66675,2025-06-08 21:00:00,2025-06-14,2025-06-11,1,2025-06-09 21:00:00,,delivered
132,152,,Coordinadora,COO-72111-20584,https://www.coordinadora.com/rastreo/COO-72111-20584,2026-01-12 23:00:00,2026-01-22,2026-01-20,3,2026-01-13 23:00:00,Dirección incorrecta o inexistente,delivered
133,153,,Envía,ENV-78522-28098,https://www.envia.co/rastreo/ENV-78522-28098,2025-06-30 21:00:00,2025-07-09,2025-07-07,1,2025-07-06 21:00:00,,delivered
134,155,,Envía,ENV-96540-44129,https://www.envia.co/rastreo/ENV-96540-44129,2025-04-13 22:00:00,2025-04-21,2025-04-19,1,2025-04-19 22:00:00,,delivered
135,156,,Deprisa,DEP-88694-24654,https://www.deprisa.com/rastreo/DEP-88694-24654,2025-10-19 21:00:00,2025-10-24,2025-10-25,1,2025-10-21 21:00:00,,delivered
136,157,,TCC,TCC-15528-21532,https://www.tcc.com.co/rastreo/TCC-15528-21532,2025-04-16 17:00:00,2025-04-22,2025-04-23,1,2025-04-17 17:00:00,,delivered
137,158,,Interrapidísimo,INT-72509-45046,https://www.interrapidisimo.com/rastreo/INT-72509-45046,2025-02-24 08:00:00,2025-02-26,2025-02-28,1,2025-02-26 08:00:00,,delivered
138,159,,TCC,TCC-19157-95112,https://www.tcc.com.co/rastreo/TCC-19157-95112,2025-10-18 14:00:00,2025-10-25,2025-10-19,1,2025-10-23 14:00:00,,returned_to_sender
139,160,,Envía,ENV-14062-34268,https://www.envia.co/rastreo/ENV-14062-34268,2025-08-18 15:00:00,2025-08-27,2025-08-24,2,2025-08-20 15:00:00,Horario de entrega no compatible,delivered
140,161,,Servientrega,SER-20425-36948,https://www.servientrega.com/rastreo/SER-20425-36948,2025-07-25 19:00:00,2025-08-03,2025-07-30,1,2025-07-27 19:00:00,,delivered
141,162,,Envía,ENV-55408-84382,https://www.envia.co/rastreo/ENV-55408-84382,2025-02-20 05:00:00,2025-02-26,2025-02-27,2,2025-02-22 05:00:00,Cliente rechazó el paquete,delivered
142,163,,Interrapidísimo,INT-51910-52649,https://www.interrapidisimo.com/rastreo/INT-51910-52649,2025-04-21 20:00:00,2025-04-30,2025-04-27,1,2025-04-24 20:00:00,,delivered
