item_id,order_id,product_id,qty,unit_price,warranty_expires_at,return_deadline,item_status
165,55,5200,1,846106.00,2027-04-18,,active
166,55,5010,1,1799134.00,2027-04-18,2025-05-18,active
167,55,5185,3,1300446.00,2025-10-18,2025-05-18,active
168,56,5053,1,84501.00,2028-09-27,2025-10-27,active
169,56,5139,3,897966.00,2027-03-27,2025-10-27,active
170,56,5021,1,947736.00,2026-03-27,2025-10-27,active
171,56,5136,1,534407.00,2026-03-27,,active
172,57,5076,3,909188.00,2027-06-03,2026-02-01,active
173,58,5140,2,321076.00,2026-07-24,,active
174,58,5152,2,404955.00,2026-07-24,,active
175,59,5026,2,582248.00,2026-02-15,,active
176,59,5061,3,6481556.00,2027-08-15,2025-09-14,active
177,59,5174,1,185396.00,2026-08-15,2025-10-14,active
178,59,5062,3,1105744.00,2026-08-15,2025-09-14,active
179,60,5087,2,223755.00,2027-05-08,2025-07-07,active
180,61,5162,2,193787.00,2027-02-05,2026-04-06,active
181,61,5092,1,175729.00,2029-02-05,2026-03-07,active
182,61,5068,1,716823.00,2028-02-05,2026-03-07,active
183,61,5175,1,1821611.00,2027-08-05,,active
184,62,5134,2,780615.00,2028-09-22,2025-10-22,active
185,63,5152,3,404955.00,2026-04-20,,active
186,64,5105,2,389337.00,2026-09-07,2025-10-07,active
187,64,5042,2,408178.00,2026-03-07,2025-10-07,active
188,64,5175,1,1821611.00,2027-03-07,,active
189,64,5050,2,410789.00,2028-09-07,,active
190,64,5016,2,358419.00,2026-03-07,,active
191,65,5089,1,1890139.00,2028-07-08,,active
192,65,5033,1,1302240.00,2026-07-08,2025-08-07,active
193,65,5079,1,834218.00,2028-07-08,2025-09-06,returned
194,65,5155,1,91862.00,2028-07-08,2025-08-07,active
195,65,5001,2,5529831.00,2026-01-08,,active
196,66,5181,3,386933.00,,,active
197,66,5182,1,886876.00,,,active
198,66,5038,2,439435.00,,,active
199,66,5020,2,1319054.00,,,active
200,66,5014,3,1612975.00,,,active
201,67,5022,1,381336.00,2028-06-12,2025-07-12,active
202,67,5083,1,392259.00,2026-12-12,2025-08-11,active
203,68,5039,2,2042213.00,,,active
204,68,5090,2,846449.00,,,active
205,68,5050,2,410789.00,,,active
206,68,5152,1,404955.00,,,active
207,69,5119,2,185159.00,2026-03-29,2025-04-28,active
208,69,5187,3,361647.00,2028-03-29,2025-05-28,active
209,70,5148,2,382097.00,,,active
210,71,5114,1,1507048.00,2026-08-17,2025-10-16,active
211,71,5032,3,231180.00,2027-08-17,2025-10-16,active
212,71,5145,2,793475.00,2027-08-17,,active
213,72,5146,3,166425.00,2025-12-09,,active
214,72,5141,3,381230.00,2026-06-09,2025-08-08,active
215,72,5145,2,793475.00,2027-06-09,,active
216,72,5069,3,1609377.00,2028-06-09,,active
217,72,5162,1,193787.00,2026-06-09,2025-08-08,active
218,73,5147,2,185633.00,,,active
219,73,5131,2,898570.00,,,active
220,73,5020,2,1319054.00,,,active
221,74,5087,3,223755.00,2028-01-22,2026-03-23,active
222,75,5182,2,886876.00,2027-03-07,2025-10-07,active
223,75,5146,2,166425.00,2026-03-07,,refunded
224,75,5130,2,1285765.00,2026-03-07,2025-10-07,active
225,75,5052,3,170294.00,2027-03-07,2025-11-06,active
226,76,5056,1,5518992.00,2025-10-28,2025-06-27,active
227,76,5035,1,831755.00,2028-04-28,2025-05-28,active
228,76,5083,2,392259.00,2026-10-28,2025-06-27,active
229,77,5111,1,5547319.00,2027-03-06,,replaced
230,77,5103,1,10598.00,2026-09-06,2025-05-05,active
231,78,5006,3,6481727.00,2028-01-24,2026-03-25,refunded
232,79,5064,2,221542.00,,,active
233,79,5143,1,1340029.00,,,active
234,80,5103,2,10598.00,2027-03-25,2025-11-24,active
235,80,5090,3,846449.00,2027-03-25,2025-10-25,returned
236,80,5063,1,2912038.00,2026-09-25,2025-10-25,active
237,80,5091,2,177619.00,2028-09-25,2025-11-24,active
238,81,5003,1,5321008.00,2026-03-21,,active
239,81,5087,2,223755.00,2027-03-21,2025-05-20,active
240,81,5141,3,381230.00,2026-03-21,2025-05-20,active
241,81,5148,1,382097.00,2025-09-21,2025-05-20,active
242,81,5116,3,6509135.00,2026-09-21,2025-04-20,returned
243,82,5044,1,441347.00,2028-05-02,2025-06-01,active
244,82,5141,2,381230.00,2026-05-02,2025-07-01,active
245,82,5082,3,125020.00,2027-05-02,,active
246,83,5145,3,793475.00,2028-01-27,,active
247,83,5097,1,379457.00,2026-07-27,,refunded
248,83,5154,1,429259.00,2027-07-27,2026-02-26,refunded
249,83,5163,3,122885.00,2027-07-27,,active
250,83,5053,3,84501.00,2029-01-27,2026-02-26,active
251,84,5052,2,170294.00,2027-06-12,2026-02-10,refunded
252,85,5193,1,335487.00,2026-12-26,,active
253,85,5109,2,234582.00,2027-12-26,2026-01-25,active
254,85,5198,2,1300819.00,2026-12-26,2026-02-24,active
255,85,5052,2,170294.00,2027-06-26,2026-02-24,active
256,86,5131,1,898570.00,2028-07-17,2025-08-16,active
257,87,5170,2,2193048.00,2028-07-13,,active
258,87,5133,3,583086.00,2026-01-13,2025-09-11,active
259,87,5057,2,2892891.00,2026-07-13,2025-09-11,active
260,87,5120,2,1814519.00,2027-07-13,2025-09-11,active
261,88,5009,3,193246.00,2026-10-20,2025-12-19,refunded
262,88,5142,2,202937.00,2027-10-20,,active
263,88,5156,2,122240.00,2026-04-20,,active
264,88,5045,1,74760.00,2026-10-20,2025-11-19,active
265,88,5117,2,1113095.00,2028-10-20,2025-11-19,active
266,89,5031,2,425567.00,2027-05-14,,active
267,89,5111,3,5547319.00,2027-11-14,,active
268,89,5047,1,98913.00,2026-11-14,2026-01-13,active
269,89,5191,2,535679.00,2026-11-14,,active
270,89,5038,3,439435.00,2028-11-14,2026-01-13,active
271,90,5054,3,281456.00,2026-11-30,2025-12-30,active
272,90,5080,1,236237.00,2026-11-30,2026-01-29,active
273,90,5057,2,2892891.00,2026-11-30,2026-01-29,returned
274,91,5174,3,185396.00,,,active
275,91,5140,3,321076.00,,,active
276,92,5056,2,5518992.00,2025-12-07,2025-08-06,active
277,92,5018,2,693765.00,2025-12-07,2025-07-07,returned
278,92,5125,1,286557.00,2025-12-07,2025-08-06,active
279,92,5105,1,389337.00,2026-06-07,2025-07-07,active
280,92,5074,1,1919976.00,2028-06-07,2025-08-06,active
281,93,5108,1,93371.00,2026-10-27,2025-05-27,active
282,93,5124,3,1613336.00,2026-04-27,2025-05-27,active
283,93,5033,2,1302240.00,2026-04-27,2025-05-27,active
284,93,5041,2,682706.00,2026-04-27,,active
285,94,5013,1,711029.00,2028-03-22,2025-04-21,returned
286,94,5057,2,2892891.00,2026-03-22,2025-05-21,active
287,95,5034,2,1942393.00,2028-06-19,2025-08-18,active
288,95,5062,2,1105744.00,2026-06-19,2025-07-19,active
289,96,5139,2,897966.00,,,active
290,96,5200,2,846106.00,,,active
291,96,5039,1,2042213.00,,,active
292,96,5157,1,123811.00,,,active
293,96,5182,3,886876.00,,,active
294,97,5157,3,123811.00,2026-02-24,2025-09-23,active
295,97,5179,1,1603021.00,2026-08-24,,active
296,97,5070,3,314573.00,2027-08-24,,returned
297,98,5081,1,591287.00,2028-09-20,,active
298,99,5080,2,236237.00,2027-02-06,2026-04-07,active
299,99,5029,3,900141.00,2026-08-06,,active
300,99,5102,2,114914.00,2027-08-06,,active
301,99,5036,2,143242.00,2026-08-06,,active
302,100,5084,3,941700.00,2026-03-17,2025-11-16,active
303,100,5088,3,1323601.00,2028-09-17,,active
304,101,5107,2,207259.00,2027-06-17,2026-01-16,active
305,102,5036,2,143242.00,2026-07-14,,active
306,102,5088,3,1323601.00,2029-01-14,,active
307,102,5139,1,897966.00,2027-07-14,2026-02-13,active
308,102,5089,3,1890139.00,2029-01-14,,active
309,103,5052,3,170294.00,2027-03-23,2025-11-22,returned
310,104,5032,1,231180.00,2027-12-22,2026-02-20,active
311,104,5057,2,2892891.00,2026-12-22,2026-02-20,active
312,105,5059,2,1525647.00,2027-10-05,2025-12-04,active
313,105,5080,2,236237.00,2026-10-05,2025-12-04,active
314,105,5038,1,439435.00,2028-10-05,2025-12-04,active
315,105,5142,3,202937.00,2027-10-05,,active
316,105,5093,1,403580.00,2028-10-05,2025-11-04,active
317,106,5092,3,175729.00,2028-07-31,2025-08-30,active
318,106,5052,1,170294.00,2027-01-31,2025-09-29,active
319,106,5172,3,1113668.00,2026-01-31,,refunded
320,106,5166,1,5546284.00,2028-07-31,,active
321,106,5146,1,166425.00,2026-01-31,,active
322,107,5107,1,207259.00,2026-11-04,2025-06-03,active
323,107,5093,1,403580.00,2028-05-04,2025-06-03,active
324,107,5070,2,314573.00,2027-05-04,,active
325,107,5185,2,1300446.00,2025-11-04,2025-06-03,active
326,107,5120,2,1814519.00,2027-05-04,2025-07-03,active
327,108,5112,3,2892741.00,2026-07-20,2026-03-21,active
328,108,5131,3,898570.00,2029-01-20,2026-02-19,active
329,109,5161,2,927415.00,2026-04-07,,active
330,109,5008,2,2902810.00,2026-10-07,2025-12-06,active
331,109,5013,1,711029.00,2028-10-07,2025-11-06,active
332,110,5068,2,716823.00,,,active
333,110,5200,2,846106.00,,,active
334,110,5028,1,331744.00,,,active
335,111,5139,3,897966.00,,,active
336,111,5170,1,2193048.00,,,active
337,111,5181,1,386933.00,,,active
338,111,5005,2,2181427.00,,,active
339,111,5022,1,381336.00,,,active
340,112,5032,2,231180.00,2027-05-25,2025-07-24,returned
341,112,5158,1,49150.00,2028-05-25,2025-07-24,returned
342,112,5119,3,185159.00,2026-05-25,2025-06-24,refunded
343,112,5157,2,123811.00,2025-11-25,2025-06-24,refunded
344,113,5031,2,425567.00,2026-10-09,,active
345,113,5054,1,281456.00,2026-04-09,2025-05-09,active
346,113,5040,3,1047504.00,2025-10-09,2025-05-09,active
347,113,5133,1,583086.00,2025-10-09,2025-06-08,active
348,113,5148,1,382097.00,2025-10-09,2025-06-08,active
349,114,5116,3,6509135.00,2026-11-30,2025-06-29,active
350,115,5102,2,114914.00,2027-03-06,,returned
351,116,5120,1,1814519.00,2027-05-12,2025-07-11,active
352,116,5191,2,535679.00,2026-05-12,,active
353,116,5119,3,185159.00,2026-05-12,2025-06-11,active
354,116,5156,3,122240.00,2025-11-12,,active
355,116,5054,3,281456.00,2026-05-12,2025-06-11,active
356,117,5140,2,321076.00,2026-02-20,,active
357,118,5153,1,293443.00,2026-03-14,,replaced
358,119,5033,3,1302240.00,2026-09-07,2025-10-07,active
359,120,5143,1,1340029.00,2025-12-06,,active
360,120,5041,1,682706.00,2026-06-06,,active
361,121,5153,1,293443.00,2026-04-20,,active
362,121,5179,3,1603021.00,2026-04-20,,active
363,122,5073,2,721104.00,2026-09-23,2025-11-22,active
364,122,5011,2,2527350.00,2027-09-23,2025-10-23,active
365,122,5074,1,1919976.00,2028-09-23,2025-11-22,active
366,122,5023,2,597469.00,2028-09-23,2025-10-23,active
367,122,5175,2,1821611.00,2027-03-23,,active
368,123,5153,1,293443.00,2026-07-05,,active
369,124,5056,3,5518992.00,2026-06-16,2026-02-14,active
370,125,5112,1,2892741.00,2025-09-15,2025-05-14,returned
371,125,5022,1,381336.00,2028-03-15,2025-04-14,refunded
372,125,5068,2,716823.00,2027-03-15,2025-04-14,refunded
373,125,5086,2,396898.00,2025-09-15,2025-04-14,active
374,126,5105,2,389337.00,2026-10-05,2025-11-04,active
375,126,5084,2,941700.00,2026-04-05,2025-12-04,active
376,127,5001,2,5529831.00,2025-11-18,,active
377,127,5055,1,462117.00,2025-11-18,2025-07-17,active
378,127,5011,3,2527350.00,2027-05-18,2025-06-17,active
379,127,5086,3,396898.00,2025-11-18,2025-06-17,active
380,128,5039,3,2042213.00,2028-05-30,2025-06-29,active
381,129,5178,3,734293.00,2026-08-03,2025-09-02,active
382,129,5065,1,1795521.00,2027-02-03,,active
383,129,5196,2,416341.00,2027-02-03,2025-10-02,active
384,129,5087,2,223755.00,2027-08-03,2025-10-02,active
385,129,5082,3,125020.00,2027-08-03,,active
386,130,5133,1,583086.00,2025-10-02,2025-06-01,active
387,131,5093,1,403580.00,2028-08-25,2025-09-24,active
388,131,5157,3,123811.00,2026-02-25,2025-09-24,active
389,132,5011,3,2527350.00,2027-11-23,2025-12-23,active
390,133,5190,2,217636.00,2026-06-10,,active
391,134,5082,1,125020.00,2027-08-12,,active
392,134,5155,3,91862.00,2028-08-12,2025-09-11,active
393,134,5072,1,934784.00,2026-08-12,2025-10-11,active
394,134,5092,1,175729.00,2028-08-12,2025-09-11,active
395,135,5142,2,202937.00,2027-05-06,,active
396,135,5154,1,429259.00,2026-11-06,2025-06-05,returned
397,135,5165,1,447081.00,2026-05-06,2025-07-05,active
398,136,5100,2,80735.00,2028-10-24,,active
399,136,5080,1,236237.00,2026-10-24,2025-12-23,active
400,136,5011,2,2527350.00,2027-10-24,2025-11-23,active
401,137,5142,3,202937.00,2028-01-01,,active
402,138,5157,1,123811.00,,,active
403,138,5179,3,1603021.00,,,active
404,138,5155,2,91862.00,,,active
405,139,5092,2,175729.00,2028-08-15,2025-09-14,active
406,139,5084,2,941700.00,2026-02-15,2025-10-14,active
407,139,5068,3,716823.00,2027-08-15,2025-09-14,returned
408,139,5037,1,188969.00,2026-08-15,,active
409,140,5042,3,408178.00,2026-06-18,2026-01-17,active
410,140,5120,2,1814519.00,2027-12-18,2026-02-16,active
411,141,5162,2,193787.00,2026-06-28,2025-08-27,active
412,141,5142,3,202937.00,2027-06-28,,active
413,142,5138,2,337965.00,,,active
414,142,5107,2,207259.00,,,active
415,142,5153,3,293443.00,,,active
416,142,5129,2,1918131.00,,,active
417,143,5161,1,927415.00,2025-09-25,,returned
418,144,5093,3,403580.00,2029-01-21,2026-02-20,active
419,144,5023,2,597469.00,2029-01-21,2026-02-20,active
420,144,5051,1,948889.00,2029-01-21,2026-03-22,replaced
421,145,5111,1,5547319.00,2027-08-12,,active
422,145,5006,2,6481727.00,2027-08-12,2025-10-11,active
423,145,5022,2,381336.00,2028-08-12,2025-09-11,active
424,145,5053,2,84501.00,2028-08-12,2025-09-11,active
425,145,5076,2,909188.00,2027-02-12,2025-10-11,active
426,146,5128,2,741215.00,2027-05-01,2025-12-31,active
427,146,5048,1,5504.00,2028-11-01,2025-12-31,active
428,146,5035,2,831755.00,2028-11-01,2025-12-01,active
429,147,5064,2,221542.00,2027-11-15,2025-12-15,active
430,147,5128,1,741215.00,2027-05-15,2026-01-14,active
431,147,5148,1,382097.00,2026-05-15,2026-01-14,active
432,147,5184,2,1928598.00,2026-11-15,2025-12-15,active
433,148,5197,3,236350.00,2026-11-11,2025-06-10,refunded
434,148,5008,1,2902810.00,2026-05-11,2025-07-10,active
435,149,5196,2,416341.00,2027-06-24,2026-02-22,active
436,149,5105,3,389337.00,2026-12-24,2026-01-23,active
437,149,5050,1,410789.00,2028-12-24,,active
438,149,5200,2,846106.00,2027-12-24,,active
439,150,5128,3,741215.00,2027-07-13,2026-03-14,active
440,150,5138,3,337965.00,2026-07-13,2026-02-12,active
441,150,5135,2,173536.00,2029-01-13,2026-02-12,active
442,150,5036,1,143242.00,2026-07-13,,active
443,151,5106,2,886910.00,2028-06-11,2025-07-11,active
444,151,5137,2,142277.00,2027-06-11,2025-07-11,active
445,151,5011,1,2527350.00,2027-06-11,2025-07-11,active
446,151,5135,1,173536.00,2028-06-11,2025-07-11,active
447,151,5186,3,892248.00,2025-12-11,2025-07-11,active
448,152,5147,3,185633.00,2027-07-20,2026-02-19,active
449,152,5135,1,173536.00,2029-01-20,2026-02-19,active
450,153,5008,1,2902810.00,2026-07-07,2025-09-05,active
451,153,5142,1,202937.00,2027-07-07,,active
452,154,5147,1,185633.00,,,active
453,154,5063,2,2912038.00,,,active
454,154,5178,3,734293.00,,,active
455,154,5082,2,125020.00,,,active
456,155,5181,3,386933.00,2025-10-19,2025-06-18,active
457,156,5165,2,447081.00,2026-10-25,2025-12-24,active
458,156,5099,2,477977.00,2027-10-25,2025-11-24,refunded
459,156,5003,3,5321008.00,2026-10-25,,returned
460,157,5011,3,2527350.00,2027-04-23,2025-05-23,active
461,157,5126,2,357192.00,2025-10-23,,active
462,157,5099,2,477977.00,2027-04-23,2025-05-23,active
463,157,5108,3,93371.00,2026-10-23,2025-05-23,active
464,158,5032,2,231180.00,2027-02-28,2025-04-29,active
465,159,5070,1,314573.00,2027-10-19,,replaced
466,159,5112,1,2892741.00,2026-04-19,2025-12-18,refunded
467,159,5045,3,74760.00,2026-10-19,2025-11-18,refunded
468,159,5171,3,6516599.00,2026-10-19,2025-12-18,returned
469,159,5134,2,780615.00,2028-10-19,2025-11-18,refunded
470,160,5026,1,582248.00,2026-02-24,,active
471,161,5122,2,1891359.00,2026-07-30,2025-08-29,active
472,161,5185,2,1300446.00,2026-01-30,2025-08-29,active
473,161,5063,2,2912038.00,2026-07-30,2025-08-29,active
474,161,5088,3,1323601.00,2028-07-30,,active
475,161,5099,2,477977.00,2027-07-30,2025-08-29,active
476,162,5160,3,391685.00,2026-08-27,2025-04-28,active
477,162,5120,3,1814519.00,2027-02-27,2025-04-28,refunded
478,162,5185,3,1300446.00,2025-08-27,2025-03-29,active
479,163,5041,2,682706.00,2026-04-27,,active
480,164,5097,2,379457.00,2026-07-14,,active
481,164,5110,1,449762.00,2028-01-14,2026-02-13,active
482,165,5098,2,235159.00,2025-11-03,,replaced
483,165,5036,1,143242.00,2025-11-03,,active
484,165,5120,2,1814519.00,2027-05-03,2025-07-02,active
485,165,5148,1,382097.00,2025-11-03,2025-07-02,active
486,166,5166,1,5546284.00,,,active
487,166,5149,2,1996121.00,,,active
488,166,5009,2,193246.00,,,active
489,166,5100,2,80735.00,,,active
490,166,5130,1,1285765.00,,,active
491,167,5037,3,188969.00,2027-01-30,,active
492,167,5105,1,389337.00,2027-01-30,2026-03-01,active
493,167,5004,1,1479197.00,2029-01-30,2026-03-31,active
494,167,5032,3,231180.00,2028-01-30,2026-03-31,returned
495,168,5097,1,379457.00,2026-07-27,,active
496,168,5165,2,447081.00,2027-01-27,2026-03-28,active
497,168,5088,1,1323601.00,2029-01-27,,active
498,169,5060,1,2204111.00,,,active
499,169,5080,3,236237.00,,,active
500,169,5108,1,93371.00,,,active
501,170,5050,2,410789.00,,,active
502,170,5168,3,5325990.00,,,active
503,170,5110,1,449762.00,,,active
504,170,5027,2,135104.00,,,active
505,171,5068,1,716823.00,2027-10-26,2025-11-25,active
506,171,5093,3,403580.00,2028-10-26,2025-11-25,active
507,171,5049,3,666254.00,2027-04-26,2025-12-25,active
508,171,5036,2,143242.00,2026-04-26,,active
509,171,5101,2,138813.00,2026-04-26,,active
510,172,5174,3,185396.00,2026-09-09,2025-11-08,active
511,172,5146,1,166425.00,2026-03-09,,active
512,173,5031,2,425567.00,2026-12-23,,active
513,174,5155,3,91862.00,2028-09-23,2025-10-23,active
514,174,5102,1,114914.00,2027-03-23,,active
515,174,5006,2,6481727.00,2027-09-23,2025-11-22,active
516,175,5145,2,793475.00,2027-05-28,,active
517,175,5136,1,534407.00,2025-11-28,,returned
518,176,5060,2,2204111.00,2027-06-22,2025-07-22,active
519,176,5190,3,217636.00,2025-12-22,,active
520,176,5174,2,185396.00,2026-06-22,2025-08-21,active
