order_id,customer_id,address_id,order_date,payment_confirmed_at,shipped_at,delivered_at,cancelled_at,status,subtotal,shipping_cost,tax,total_amount,delivery_method,payment_method,card_id,customer_notes,internal_notes,cancellation_reason
11,1257,288,2025-09-10 00:00:00,2025-09-10 10:00:00,2025-09-12 23:00:00,2025-09-19 23:00:00,,delivered,2542398.00,8000.00,483055.62,3033453.62,home_delivery,contraentrega,,,,
12,1197,224,2025-11-04 00:00:00,2025-11-04 18:00:00,2025-11-07 01:00:00,2025-11-12 01:00:00,,delivered,2350198.00,0.00,446537.62,2796735.62,home_delivery,PSE,,"Es un regalo, no incluir factura en el paquete",,
13,1337,378,2025-05-21 00:00:00,2025-05-21 23:00:00,,,2025-05-22 23:00:00,cancelled,1248793.00,25000.00,237270.67,1511063.67,pickup_point,nequi,,,,Problemas con el método de pago
14,1184,209,2025-07-10 00:00:00,2025-07-10 17:00:00,2025-07-13 01:00:00,2025-07-20 01:00:00,,delivered,3030679.00,12000.00,575829.01,3618508.01,home_delivery,nequi,,Entregar preferiblemente en horas de la mañana,,
15,1073,84,2025-03-03 00:00:00,2025-03-03 10:00:00,2025-03-04 16:00:00,2025-03-13 16:00:00,,delivered,4117286.00,0.00,782284.34,4899570.34,pickup_point,tarjeta_credito,493,,,
16,1452,499,2025-04-05 00:00:00,2025-04-05 16:00:00,2025-04-06 10:00:00,2025-04-18 10:00:00,,delivered,2853599.00,12000.00,542183.81,3407782.81,home_delivery,tarjeta_credito,479,,,
17,1288,322,2025-06-13 00:00:00,2025-06-13 12:00:00,2025-06-15 02:00:00,2025-06-20 02:00:00,,delivered,2323550.00,12000.00,441474.50,2777024.50,home_delivery,PSE,,"Es un regalo, no incluir factura en el paquete",,
18,1205,232,2025-05-02 00:00:00,2025-05-02 11:00:00,2025-05-03 02:00:00,2025-05-10 02:00:00,,delivered,24087332.00,20000.00,4576593.08,28683925.08,home_delivery,tarjeta_debito,17,,,
19,1190,215,2025-04-01 00:00:00,2025-04-01 19:00:00,2025-04-03 09:00:00,2025-04-12 09:00:00,,delivered,4770275.00,8000.00,906352.25,5684627.25,home_delivery,contraentrega,,,,
20,1012,16,2025-07-16 00:00:00,2025-07-16 14:00:00,2025-07-19 09:00:00,2025-07-21 09:00:00,,delivered,5624352.00,25000.00,1068626.88,6717978.88,home_delivery,PSE,,,,
21,1486,534,2026-01-22 00:00:00,2026-01-22 17:00:00,2026-01-25 11:00:00,2026-02-03 11:00:00,,delivered,2890359.00,0.00,549168.21,3439527.21,home_delivery,tarjeta_credito,446,,,
22,1079,90,2026-01-19 00:00:00,2026-01-19 06:00:00,2026-01-20 02:00:00,2026-01-23 02:00:00,,delivered,798997.00,25000.00,151809.43,975806.43,home_delivery,tarjeta_credito,167,,,
23,1167,189,2025-08-21 00:00:00,2025-08-21 03:00:00,2025-08-22 18:00:00,2025-09-02 18:00:00,,delivered,22087989.00,10000.00,4196717.91,26294706.91,home_delivery,tarjeta_credito,73,,,
24,1182,207,2025-03-14 00:00:00,2025-03-14 01:00:00,2025-03-16 00:00:00,2025-03-19 00:00:00,,delivered,5504.00,15000.00,1045.76,21549.76,pickup_point,nequi,,,,
25,1312,349,2025-12-17 00:00:00,2025-12-17 02:00:00,,,2025-12-17 07:00:00,cancelled,6572759.00,8000.00,1248824.21,7829583.21,home_delivery,tarjeta_credito,234,,,Producto similar comprado en tienda física
26,1277,310,2025-07-20 00:00:00,2025-07-20 09:00:00,2025-07-20 22:00:00,2025-07-21 22:00:00,,delivered,1763036.00,0.00,334976.84,2098012.84,home_delivery,PSE,,Necesito factura electrónica,,
27,1225,254,2025-04-09 00:00:00,2025-04-09 07:00:00,2025-04-10 19:00:00,2025-04-16 19:00:00,,delivered,10651980.00,15000.00,2023876.20,12690856.20,home_delivery,PSE,,Dejar con el portero si no estoy,,
28,1208,236,2026-02-03 00:00:00,2026-02-03 06:00:00,2026-02-05 03:00:00,,,shipped,370318.00,12000.00,70360.42,452678.42,home_delivery,tarjeta_credito,10,,,
29,1264,295,2025-12-21 00:00:00,2025-12-21 07:00:00,2025-12-21 19:00:00,2025-12-26 19:00:00,,delivered,1037577.00,0.00,197139.63,1234716.63,pickup_point,tarjeta_credito,515,Prefiero entrega en la tarde después de las 2pm,,
30,1212,240,2025-05-23 00:00:00,2025-05-23 21:00:00,2025-05-24 19:00:00,2025-06-01 19:00:00,,delivered,5281505.00,20000.00,1003485.95,6304990.95,pickup_point,tarjeta_debito,509,,,
31,1344,385,2025-10-03 00:00:00,2025-10-03 19:00:00,,,2025-10-04 07:00:00,cancelled,5706463.00,18000.00,1084227.97,6808690.97,home_delivery,PSE,,,,Problemas con el método de pago
32,1235,265,2025-05-24 00:00:00,,,,2025-05-24 01:00:00,cancelled,695830.00,8000.00,132207.70,836037.70,home_delivery,tarjeta_debito,346,,,Producto ya no es necesario
33,1312,349,2025-06-23 00:00:00,2025-06-23 11:00:00,2025-06-25 03:00:00,2025-06-27 03:00:00,,delivered,1508653.00,25000.00,286644.07,1820297.07,home_delivery,tarjeta_credito,234,,,
34,1390,434,2025-12-16 00:00:00,2025-12-16 21:00:00,2025-12-18 19:00:00,2025-12-22 19:00:00,,delivered,1867434.00,12000.00,354812.46,2234246.46,pickup_point,tarjeta_credito,240,,,
35,1349,390,2025-03-20 00:00:00,2025-03-20 22:00:00,,,2025-03-22 14:00:00,cancelled,11688891.00,18000.00,2220889.29,13927780.29,home_delivery,nequi,,,,Compra duplicada por error
36,1007,10,2026-01-22 00:00:00,2026-01-22 20:00:00,2026-01-24 09:00:00,2026-02-01 09:00:00,,delivered,12995124.00,15000.00,2469073.56,15479197.56,pickup_point,tarjeta_credito,6,Entregar en horario de oficina (8am-5pm),,
37,1051,62,2025-11-05 00:00:00,2025-11-05 05:00:00,2025-11-06 21:00:00,2025-11-14 21:00:00,,delivered,2941520.00,0.00,558888.80,3500408.80,pickup_point,tarjeta_debito,77,,,
38,1220,248,2025-11-11 00:00:00,2025-11-11 10:00:00,2025-11-12 14:00:00,2025-11-19 14:00:00,,delivered,3613491.00,18000.00,686563.29,4318054.29,home_delivery,tarjeta_credito,179,,,
39,1379,422,2025-05-17 00:00:00,2025-05-17 20:00:00,2025-05-18 23:00:00,2025-05-19 23:00:00,,delivered,2963710.00,8000.00,563104.90,3534814.90,home_delivery,tarjeta_credito,467,,,
40,1300,336,2025-06-12 00:00:00,2025-06-12 10:00:00,2025-06-14 08:00:00,2025-06-15 08:00:00,,delivered,4773777.00,20000.00,907017.63,5700794.63,home_delivery,tarjeta_credito,122,Dejar con el portero si no estoy,Cliente solicitó cambio de dirección post-compra,
41,1407,451,2025-04-26 00:00:00,2025-04-26 02:00:00,2025-04-27 16:00:00,2025-05-02 16:00:00,,delivered,10425952.00,10000.00,1980930.88,12416882.88,home_delivery,contraentrega,,,,
42,1106,123,2025-10-30 00:00:00,2025-10-30 03:00:00,2025-11-01 21:00:00,2025-11-02 21:00:00,,delivered,2011391.00,15000.00,382164.29,2408555.29,home_delivery,tarjeta_credito,148,,,
43,1062,73,2025-11-06 00:00:00,2025-11-06 05:00:00,,,2025-11-07 21:00:00,cancelled,11717764.00,20000.00,2226375.16,13964139.16,pickup_point,tarjeta_debito,124,,,Cliente cambió de opinión
44,1243,273,2025-10-22 00:00:00,2025-10-22 14:00:00,2025-10-23 06:00:00,2025-10-31 06:00:00,,delivered,7474854.00,20000.00,1420222.26,8915076.26,home_delivery,tarjeta_credito,298,,,
45,1267,298,2025-04-17 00:00:00,2025-04-17 23:00:00,2025-04-19 14:00:00,2025-04-20 14:00:00,,delivered,10684814.00,15000.00,2030114.66,12729928.66,home_delivery,nequi,,,,
46,1366,409,2025-10-04 00:00:00,2025-10-04 07:00:00,2025-10-06 00:00:00,2025-10-17 00:00:00,,delivered,721104.00,12000.00,137009.76,870113.76,home_delivery,PSE,,,,
47,1204,231,2025-02-10 00:00:00,2025-02-10 23:00:00,2025-02-12 02:00:00,2025-02-24 02:00:00,,returned,13523604.00,12000.00,2569484.76,16105088.76,home_delivery,tarjeta_credito,53,,,
48,1399,443,2025-08-29 00:00:00,2025-08-29 09:00:00,2025-08-30 04:00:00,2025-08-31 04:00:00,,delivered,10414689.00,20000.00,1978790.91,12413479.91,home_delivery,tarjeta_credito,378,,,
49,1204,231,2025-07-14 00:00:00,2025-07-15 00:00:00,2025-07-16 23:00:00,2025-07-17 23:00:00,,delivered,1619494.00,0.00,307703.86,1927197.86,pickup_point,PSE,,Necesito factura electrónica,,
50,1232,261,2025-06-06 00:00:00,2025-06-06 04:00:00,2025-06-09 01:00:00,2025-06-13 01:00:00,,delivered,8772744.00,0.00,1666821.36,10439565.36,home_delivery,PSE,,Entregar en horario de oficina (8am-5pm),,
51,1200,227,2025-10-03 00:00:00,2025-10-03 15:00:00,,,2025-10-03 18:00:00,cancelled,4819263.00,10000.00,915659.97,5744922.97,home_delivery,tarjeta_credito,226,Llamar antes de entregar,,Cliente solicitó cancelación por viaje
52,1403,447,2025-10-28 00:00:00,2025-10-28 22:00:00,2025-10-31 17:00:00,2025-11-02 17:00:00,,delivered,25007741.00,15000.00,4751470.79,29774211.79,pickup_point,nequi,,,,
53,1050,61,2025-05-01 00:00:00,2025-05-01 15:00:00,2025-05-04 12:00:00,2025-05-15 12:00:00,,delivered,4256651.00,8000.00,808763.69,5073414.69,pickup_point,tarjeta_credito,174,,,
54,1084,95,2025-07-25 00:00:00,2025-07-25 18:00:00,2025-07-27 15:00:00,2025-08-06 15:00:00,,delivered,13912496.00,8000.00,2643374.24,16563870.24,home_delivery,daviplata,,,,
55,1412,457,2025-04-10 00:00:00,2025-04-10 07:00:00,2025-04-12 04:00:00,2025-04-18 04:00:00,,delivered,23188535.00,8000.00,4405821.65,27602356.65,home_delivery,tarjeta_credito,93,,,
56,1027,32,2025-09-20 00:00:00,2025-09-20 03:00:00,2025-09-21 17:00:00,2025-09-27 17:00:00,,delivered,4260542.00,0.00,809502.98,5070044.98,pickup_point,PSE,,Entregar preferiblemente en horas de la mañana,,
57,1368,411,2025-11-27 00:00:00,2025-11-27 04:00:00,2025-11-29 19:00:00,2025-12-03 19:00:00,,delivered,2727564.00,0.00,518237.16,3245801.16,home_delivery,tarjeta_credito,358,,,
58,1355,397,2025-07-18 00:00:00,2025-07-18 10:00:00,2025-07-21 08:00:00,2025-07-24 08:00:00,,delivered,1452062.00,12000.00,275891.78,1739953.78,home_delivery,contraentrega,,,,
59,1021,26,2025-08-04 00:00:00,2025-08-04 12:00:00,2025-08-07 12:00:00,2025-08-15 12:00:00,,delivered,24111792.00,15000.00,4581240.48,28708032.48,home_delivery,tarjeta_credito,242,,,
60,1236,266,2025-05-05 00:00:00,2025-05-05 14:00:00,2025-05-07 02:00:00,2025-05-08 02:00:00,,delivered,447510.00,10000.00,85026.90,542536.90,home_delivery,nequi,,,,
61,1321,359,2026-01-23 00:00:00,2026-01-23 16:00:00,2026-01-25 06:00:00,2026-02-05 06:00:00,,delivered,3101737.00,25000.00,589330.03,3716067.03,pickup_point,PSE,,,Segunda compra del mes - verificar promociones,
62,1137,158,2025-09-19 00:00:00,2025-09-19 09:00:00,2025-09-20 10:00:00,2025-09-22 10:00:00,,delivered,1561230.00,0.00,296633.70,1857863.70,home_delivery,nequi,,,,
63,1180,204,2025-04-17 00:00:00,2025-04-17 06:00:00,2025-04-17 22:00:00,2025-04-20 22:00:00,,delivered,1214865.00,0.00,230824.35,1445689.35,home_delivery,tarjeta_credito,502,,,
64,1344,385,2025-08-25 00:00:00,2025-08-25 04:00:00,2025-08-26 23:00:00,2025-09-07 23:00:00,,delivered,4955057.00,15000.00,941460.83,5911517.83,home_delivery,PSE,,,,
65,1324,362,2025-07-01 00:00:00,2025-07-01 18:00:00,2025-07-04 03:00:00,2025-07-08 03:00:00,,delivered,15178121.00,8000.00,2883842.99,18069963.99,home_delivery,contraentrega,,,,
66,1179,203,2026-01-17 00:00:00,,,,2026-01-18 18:00:00,cancelled,10403578.00,25000.00,1976679.82,12405257.82,home_delivery,PSE,,,,Cliente cambió de opinión
67,1300,336,2025-06-02 00:00:00,2025-06-02 21:00:00,2025-06-04 21:00:00,2025-06-12 21:00:00,,delivered,773595.00,15000.00,146983.05,935578.05,home_delivery,tarjeta_credito,122,,,
68,1268,299,2025-05-15 00:00:00,2025-05-15 01:00:00,,,2025-05-16 19:00:00,cancelled,7003857.00,10000.00,1330732.83,8344589.83,home_delivery,tarjeta_debito,423,Necesito factura electrónica,,Problemas con el método de pago
69,1359,401,2025-03-24 00:00:00,2025-03-24 22:00:00,2025-03-25 23:00:00,2025-03-29 23:00:00,,delivered,1455259.00,12000.00,276499.21,1743758.21,pickup_point,tarjeta_credito,161,,,
70,1158,180,2026-01-02 00:00:00,2026-01-02 02:00:00,,,2026-01-03 06:00:00,cancelled,764194.00,20000.00,145196.86,929390.86,home_delivery,tarjeta_credito,470,,,Encontró mejor precio en otra tienda
71,1352,394,2025-08-10 00:00:00,2025-08-10 16:00:00,2025-08-11 13:00:00,2025-08-17 13:00:00,,delivered,3787538.00,0.00,719632.22,4507170.22,home_delivery,PSE,,"Por favor empacar con cuidado, es un regalo",,
72,1249,279,2025-05-31 00:00:00,2025-05-31 12:00:00,2025-06-01 20:00:00,2025-06-09 20:00:00,,delivered,8251833.00,20000.00,1567848.27,9839681.27,home_delivery,PSE,,,,
73,1096,111,2025-05-15 00:00:00,2025-05-15 02:00:00,,,2025-05-15 15:00:00,cancelled,4806514.00,20000.00,913237.66,5739751.66,home_delivery,tarjeta_credito,151,Entregar preferiblemente en horas de la mañana,,Error al realizar el pedido
74,1234,264,2026-01-15 00:00:00,2026-01-15 11:00:00,2026-01-17 19:00:00,2026-01-22 19:00:00,,delivered,671265.00,18000.00,127540.35,816805.35,home_delivery,tarjeta_debito,426,Entregar en horario de oficina (8am-5pm),,
75,1295,331,2025-09-02 00:00:00,2025-09-02 07:00:00,2025-09-03 03:00:00,2025-09-07 03:00:00,,delivered,5189014.00,15000.00,985912.66,6189926.66,pickup_point,tarjeta_debito,518,,,
76,1267,298,2025-04-16 00:00:00,2025-04-16 07:00:00,2025-04-19 05:00:00,2025-04-28 05:00:00,,delivered,7135265.00,0.00,1355700.35,8490965.35,home_delivery,contraentrega,,,,
77,1369,412,2025-02-23 00:00:00,2025-02-23 06:00:00,2025-02-24 19:00:00,2025-03-06 19:00:00,,delivered,5557917.00,15000.00,1056004.23,6628921.23,home_delivery,nequi,,,,
78,1048,58,2026-01-18 00:00:00,2026-01-18 11:00:00,2026-01-21 06:00:00,2026-01-24 06:00:00,,delivered,19445181.00,15000.00,3694584.39,23154765.39,home_delivery,tarjeta_debito,490,,,
79,1268,299,2026-02-05 00:00:00,2026-02-05 23:00:00,,,,payment_confirmed,1783113.00,18000.00,338791.47,2139904.47,home_delivery,nequi,,,,
80,1066,77,2025-09-13 00:00:00,2025-09-13 03:00:00,2025-09-15 05:00:00,2025-09-25 05:00:00,,delivered,5827819.00,12000.00,1107285.61,6947104.61,home_delivery,tarjeta_debito,373,,,
81,1441,487,2025-03-12 00:00:00,2025-03-12 22:00:00,2025-03-14 16:00:00,2025-03-21 16:00:00,,delivered,26821710.00,25000.00,5096124.90,31942834.90,home_delivery,contraentrega,,,,
82,1141,162,2025-04-29 00:00:00,2025-04-29 02:00:00,2025-04-30 08:00:00,2025-05-02 08:00:00,,delivered,1578867.00,8000.00,299984.73,1886851.73,home_delivery,tarjeta_credito,79,,,
83,1365,408,2026-01-22 00:00:00,2026-01-22 20:00:00,2026-01-23 14:00:00,2026-01-27 14:00:00,,returned,3811299.00,8000.00,724146.81,4543445.81,home_delivery,tarjeta_debito,306,,,
84,1363,406,2025-12-03 00:00:00,2025-12-03 23:00:00,2025-12-05 23:00:00,2025-12-12 23:00:00,,delivered,340588.00,0.00,64711.72,405299.72,home_delivery,tarjeta_debito,182,,,
85,1391,435,2025-12-19 00:00:00,2025-12-19 17:00:00,2025-12-22 09:00:00,2025-12-26 09:00:00,,delivered,3746877.00,0.00,711906.63,4458783.63,home_delivery,tarjeta_credito,80,,,
86,1487,535,2025-07-06 00:00:00,2025-07-06 06:00:00,2025-07-09 02:00:00,2025-07-17 02:00:00,,delivered,898570.00,0.00,170728.30,1069298.30,home_delivery,tarjeta_debito,254,,,
87,1486,534,2025-07-02 00:00:00,2025-07-02 19:00:00,2025-07-05 01:00:00,2025-07-13 01:00:00,,delivered,15550174.00,15000.00,2954533.06,18519707.06,home_delivery,tarjeta_credito,446,,,
88,1059,70,2025-10-18 00:00:00,2025-10-18 09:00:00,2025-10-19 16:00:00,2025-10-20 16:00:00,,delivered,3531042.00,25000.00,670897.98,4226939.98,pickup_point,nequi,,,,
89,1130,149,2025-11-04 00:00:00,2025-11-04 01:00:00,2025-11-05 17:00:00,2025-11-14 17:00:00,,delivered,19981667.00,20000.00,3796516.73,23798183.73,home_delivery,tarjeta_debito,237,,,
90,1418,463,2025-11-18 00:00:00,2025-11-18 07:00:00,2025-11-20 09:00:00,2025-11-30 09:00:00,,delivered,6866387.00,18000.00,1304613.53,8189000.53,home_delivery,tarjeta_debito,225,,,
91,1181,206,2025-06-18 00:00:00,2025-06-18 18:00:00,,,2025-06-20 01:00:00,cancelled,1519416.00,12000.00,288689.04,1820105.04,home_delivery,tarjeta_debito,503,Entregar preferiblemente en horas de la mañana,Segunda compra del mes - verificar promociones,Cliente cambió de opinión
92,1069,80,2025-05-27 00:00:00,2025-05-27 18:00:00,2025-05-30 03:00:00,2025-06-07 03:00:00,,delivered,15021384.00,25000.00,2854062.96,17900446.96,home_delivery,tarjeta_credito,273,,,
93,1321,359,2025-04-22 00:00:00,2025-04-22 05:00:00,2025-04-24 04:00:00,2025-04-27 04:00:00,,delivered,8903271.00,20000.00,1691621.49,10614892.49,home_delivery,nequi,,,,
94,1368,411,2025-03-13 00:00:00,2025-03-13 21:00:00,2025-03-14 17:00:00,2025-03-22 17:00:00,,returned,6496811.00,10000.00,1234394.09,7741205.09,home_delivery,contraentrega,,,,
95,1449,495,2025-06-09 00:00:00,2025-06-09 18:00:00,2025-06-12 18:00:00,2025-06-19 18:00:00,,delivered,6096274.00,25000.00,1158292.06,7279566.06,home_delivery,tarjeta_credito,539,,,
96,1058,69,2025-08-25 00:00:00,2025-08-25 04:00:00,,,2025-08-25 09:00:00,cancelled,8314796.00,8000.00,1579811.24,9902607.24,pickup_point,tarjeta_debito,338,,,Encontró mejor precio en otra tienda
97,1146,167,2025-08-20 00:00:00,2025-08-20 09:00:00,2025-08-23 01:00:00,2025-08-24 01:00:00,,delivered,2918173.00,10000.00,554452.87,3482625.87,pickup_point,PSE,,,,
98,1336,377,2025-09-13 00:00:00,2025-09-13 01:00:00,2025-09-14 11:00:00,2025-09-20 11:00:00,,delivered,591287.00,18000.00,112344.53,721631.53,home_delivery,PSE,,,Segunda compra del mes - verificar promociones,
99,1385,429,2026-01-25 00:00:00,2026-01-25 13:00:00,2026-01-26 10:00:00,2026-02-06 10:00:00,,delivered,3689209.00,12000.00,700949.71,4402158.71,home_delivery,tarjeta_credito,35,,,
100,1240,270,2025-09-13 00:00:00,2025-09-13 09:00:00,2025-09-14 20:00:00,2025-09-17 20:00:00,,delivered,6795903.00,0.00,1291221.57,8087124.57,home_delivery,contraentrega,,,,
101,1106,123,2025-12-07 00:00:00,2025-12-07 20:00:00,2025-12-10 06:00:00,2025-12-17 06:00:00,,delivered,414518.00,0.00,78758.42,493276.42,pickup_point,nequi,,,,
102,1021,26,2026-01-07 00:00:00,2026-01-07 02:00:00,2026-01-10 01:00:00,2026-01-14 01:00:00,,delivered,10825670.00,10000.00,2056877.30,12892547.30,pickup_point,contraentrega,,,,
103,1486,534,2025-09-19 00:00:00,2025-09-19 11:00:00,2025-09-20 05:00:00,2025-09-23 05:00:00,,returned,510882.00,0.00,97067.58,607949.58,pickup_point,tarjeta_credito,446,,,
104,1337,378,2025-12-13 00:00:00,2025-12-13 04:00:00,2025-12-14 18:00:00,2025-12-22 18:00:00,,delivered,6016962.00,25000.00,1143222.78,7185184.78,home_delivery,nequi,,Necesito factura electrónica,,
105,1218,246,2025-09-29 00:00:00,2025-09-29 02:00:00,2025-10-02 01:00:00,2025-10-05 01:00:00,,delivered,4975594.00,20000.00,945362.86,5940956.86,home_delivery,nequi,,,,
106,1088,100,2025-07-27 00:00:00,2025-07-27 20:00:00,2025-07-29 05:00:00,2025-07-31 05:00:00,,delivered,9751194.00,8000.00,1852726.86,11611920.86,home_delivery,tarjeta_credito,212,,,
107,1319,357,2025-04-30 00:00:00,2025-04-30 14:00:00,2025-05-01 19:00:00,2025-05-04 19:00:00,,delivered,7469915.00,18000.00,1419283.85,8907198.85,home_delivery,nequi,,,,
108,1280,313,2026-01-12 00:00:00,2026-01-12 08:00:00,2026-01-14 13:00:00,2026-01-20 13:00:00,,delivered,11373933.00,15000.00,2161047.27,13549980.27,home_delivery,tarjeta_debito,258,,,
109,1168,190,2025-09-25 00:00:00,2025-09-25 01:00:00,2025-09-27 06:00:00,2025-10-07 06:00:00,,delivered,8371479.00,10000.00,1590581.01,9972060.01,home_delivery,tarjeta_credito,401,"Producto frágil, manejar con cuidado",,
110,1268,299,2026-02-02 00:00:00,2026-02-02 03:00:00,2026-02-04 07:00:00,,,shipped,3457602.00,12000.00,656944.38,4126546.38,home_delivery,tarjeta_debito,424,,,
111,1139,160,2025-02-19 00:00:00,2025-02-19 20:00:00,,,2025-02-21 02:00:00,cancelled,10018069.00,25000.00,1903433.11,11946502.11,home_delivery,tarjeta_debito,193,,,Dirección de entrega incorrecta
112,1091,105,2025-05-16 00:00:00,2025-05-16 19:00:00,2025-05-19 06:00:00,2025-05-25 06:00:00,,returned,1314609.00,15000.00,249775.71,1579384.71,home_delivery,tarjeta_debito,87,,,
113,1409,453,2025-03-28 00:00:00,2025-03-28 13:00:00,2025-03-30 18:00:00,2025-04-09 18:00:00,,delivered,5240285.00,15000.00,995654.15,6250939.15,home_delivery,tarjeta_credito,535,,,
114,1426,471,2025-05-25 00:00:00,2025-05-25 20:00:00,2025-05-26 10:00:00,2025-05-30 10:00:00,,delivered,19527405.00,0.00,3710206.95,23237611.95,home_delivery,nequi,,,Dirección verificada por soporte,
115,1371,414,2025-08-28 00:00:00,2025-08-28 20:00:00,2025-08-31 04:00:00,2025-09-06 04:00:00,,delivered,229828.00,8000.00,43667.32,281495.32,home_delivery,tarjeta_credito,530,,,
116,1249,279,2025-04-30 00:00:00,2025-04-30 07:00:00,2025-05-01 11:00:00,2025-05-12 11:00:00,,delivered,4652442.00,25000.00,883963.98,5561405.98,home_delivery,PSE,,,,
117,1025,30,2025-02-15 00:00:00,2025-02-15 09:00:00,2025-02-17 00:00:00,2025-02-20 00:00:00,,delivered,642152.00,12000.00,122008.88,776160.88,home_delivery,daviplata,,,,
118,1133,153,2025-03-10 00:00:00,2025-03-10 05:00:00,2025-03-12 16:00:00,2025-03-14 16:00:00,,returned,293443.00,0.00,55754.17,349197.17,home_delivery,nequi,,,,
119,1494,543,2025-09-04 00:00:00,2025-09-04 09:00:00,2025-09-05 10:00:00,2025-09-07 10:00:00,,delivered,3906720.00,18000.00,742276.80,4666996.80,home_delivery,tarjeta_credito,329,,,
120,1043,52,2025-05-23 00:00:00,2025-05-23 15:00:00,2025-05-26 05:00:00,2025-06-06 05:00:00,,delivered,2022735.00,0.00,384319.65,2407054.65,home_delivery,PSE,,,,
121,1129,147,2025-04-13 00:00:00,2025-04-13 04:00:00,2025-04-16 04:00:00,2025-04-20 04:00:00,,delivered,5102506.00,12000.00,969476.14,6083982.14,pickup_point,PSE,,Dejar con el portero si no estoy,,
122,1047,57,2025-09-16 00:00:00,2025-09-16 16:00:00,2025-09-17 16:00:00,2025-09-23 16:00:00,,delivered,13255044.00,20000.00,2518458.36,15793502.36,home_delivery,PSE,,Necesito factura electrónica,Producto empacado con protección adicional,
123,1308,344,2025-06-28 00:00:00,2025-06-28 08:00:00,2025-06-28 20:00:00,2025-07-05 20:00:00,,delivered,293443.00,0.00,55754.17,349197.17,home_delivery,daviplata,,,,
124,1482,530,2025-12-12 00:00:00,2025-12-12 08:00:00,2025-12-13 05:00:00,2025-12-16 05:00:00,,delivered,16556976.00,0.00,3145825.44,19702801.44,home_delivery,tarjeta_credito,546,,,
125,1278,311,2025-03-06 00:00:00,2025-03-06 04:00:00,2025-03-08 10:00:00,2025-03-15 10:00:00,,returned,5501519.00,12000.00,1045288.61,6558807.61,home_delivery,daviplata,,,,
126,1039,47,2025-09-28 00:00:00,2025-09-28 06:00:00,2025-09-30 07:00:00,2025-10-05 07:00:00,,delivered,2662074.00,10000.00,505794.06,3177868.06,home_delivery,daviplata,,,,
127,1468,516,2025-05-11 00:00:00,2025-05-11 03:00:00,2025-05-12 11:00:00,2025-05-18 11:00:00,,delivered,20294523.00,0.00,3855959.37,24150482.37,home_delivery,PSE,,,,
128,1242,272,2025-05-28 00:00:00,2025-05-28 05:00:00,2025-05-29 02:00:00,2025-05-30 02:00:00,,delivered,6126639.00,25000.00,1164061.41,7315700.41,pickup_point,tarjeta_debito,397,,,
129,1493,542,2025-07-29 00:00:00,2025-07-29 06:00:00,2025-07-30 10:00:00,2025-08-03 10:00:00,,delivered,5653652.00,10000.00,1074193.88,6737845.88,home_delivery,daviplata,,,,
